id,title,artist,lyrics,mood
74,Genda Phool,Badshah,"koila sa rang tera genda phool",party
75,Proper Patola,Diljit Dosanjh,"proper patola",party
76,Lover,Diljit Dosanjh,"main lover pehchan ja",romantic
77,Kina Chir,The PropheC,"kina chir tenu takda rahaan",romantic
78,Moonrise,Diljit Dosanjh,"moonrise tere naal ve",romantic
79,Excuses,AP Dhillon,"oh baby excuses",heartbreak
80,Brown Munde,AP Dhillon,"brown munde",swag
81,Desires,AP Dhillon,"tere vaste falak se",romantic
82,Insane,AP Dhillon,"insane teri meri yaari insane",party
83,Daku,Inderpal Moga,"main daku tu sharmaave",swag
84,Bijlee Bijlee,Hardy Sandhu,"bijlee bijlee bijlee bijlee",party
85,Titliaan,Harrdy Sandhu,"titliaan wargaa",heartbreak
86,Backbone,Harrdy Sandhu,"tu hi meri backbone",romantic
87,Naah,Harrdy Sandhu,"naah naah naah",party
88,Kya Baat Ay,Harrdy Sandhu,"kya baat ay",romantic
89,Mann Meri Jaan,King,"mann meri jaan",romantic
90,OOPS,King,"ooh teri body oops",party
91,Tum Saath Rehna,Arijit Singh,"tum saath rehna mere paas rehna",romantic
92,Mere Bina,Atif Aslam,"mere bina maahi mere bina",sad
93,Humnava,Mithoon,"humnava mere",heartbreak
94,Sanam Re,Arijit Singh,"sanam re sanam re",romantic
95,Kya Mujhe Pyaar Hai,K.K.,"kya mujhe pyaar hai",romantic
96,O Re Piya,Rahat Fateh Ali Khan,"o re piya haye",romantic
97,Jiya Dhadak Dhadak,Rahat Fateh Ali Khan,"jiya dhadak dhadak jaye",romantic
98,Mast Magan,Arijit Singh,"mast magan mast magan",romantic
99,Saiyaan, Kailash Kher,"saiyaan saiyaan re",devotional
100,Allah Ke Bande,Kailash Kher,"allah ke bande hans de",motivational
